Crop,Category,Growth_Stage,Problem,Recommended_Product,Active_Ingredient,Application_Method,Dose_Per_Acre,Cost_Per_Unit_INR,Unit,Preventive,Weather_Trigger,Remarks
Turmeric,Disease Prevention,Flowering,Fungal Blight & Leaf Spot,Mancozeb 75% WP,Mancozeb,Foliar Spray,500 g,300,Pack,Yes,Rainfall,Apply preventively during overcast humid weather.
Ginger,Weed Control,Basal / Pre-emergence,Broadleaf & Grass Weeds,Pendimethalin 30% EC,Pendimethalin,Foliar Spray,1.0 Litre,450,Litre,Yes,High Moisture,Spray within 48 hours of sowing.
Ginger,Pest Management,Vegetative,Sucking Pests & Caterpillars,Imidacloprid 17.8% SL,Imidacloprid,Foliar Spray,100 ml,350,Pack,No,High Humidity,Spray on initial appearance of pests.
Ginger,Disease Prevention,Flowering,Fungal Blight & Leaf Spot,Mancozeb 75% WP,Mancozeb,Foliar Spray,500 g,300,Pack,Yes,Rainfall,Apply preventively during overcast humid weather.
Ragi,Weed Control,Basal / Pre-emergence,Broadleaf & Grass Weeds,Pendimethalin 30% EC,Pendimethalin,Foliar Spray,1.0 Litre,450,Litre,Yes,High Moisture,Spray within 48 hours of sowing.
Ragi,Pest Management,Vegetative,Sucking Pests & Caterpillars,Imidacloprid 17.8% SL,Imidacloprid,Foliar Spray,100 ml,350,Pack,No,High Humidity,Spray on initial appearance of pests.
Ragi,Disease Prevention,Flowering,Fungal Blight & Leaf Spot,Mancozeb 75% WP,Mancozeb,Foliar Spray,500 g,300,Pack,Yes,Rainfall,Apply preventively during overcast humid weather.
Apple,Weed Control,Basal / Pre-emergence,Broadleaf & Grass Weeds,Pendimethalin 30% EC,Pendimethalin,Foliar Spray,1.0 Litre,450,Litre,Yes,High Moisture,Spray within 48 hours of sowing.
Apple,Pest Management,Vegetative,Sucking Pests & Caterpillars,Imidacloprid 17.8% SL,Imidacloprid,Foliar Spray,100 ml,350,Pack,No,High Humidity,Spray on initial appearance of pests.
Apple,Disease Prevention,Flowering,Fungal Blight & Leaf Spot,Mancozeb 75% WP,Mancozeb,Foliar Spray,500 g,300,Pack,Yes,Rainfall,Apply preventively during overcast humid weather.
Grapes,Weed Control,Basal / Pre-emergence,Broadleaf & Grass Weeds,Pendimethalin 30% EC,Pendimethalin,Foliar Spray,1.0 Litre,450,Litre,Yes,High Moisture,Spray within 48 hours of sowing.
Grapes,Pest Management,Vegetative,Sucking Pests & Caterpillars,Imidacloprid 17.8% SL,Imidacloprid,Foliar Spray,100 ml,350,Pack,No,High Humidity,Spray on initial appearance of pests.
Grapes,Disease Prevention,Flowering,Fungal Blight & Leaf Spot,Mancozeb 75% WP,Mancozeb,Foliar Spray,500 g,300,Pack,Yes,Rainfall,Apply preventively during overcast humid weather.
Citrus,Weed Control,Basal / Pre-emergence,Broadleaf & Grass Weeds,Pendimethalin 30% EC,Pendimethalin,Foliar Spray,1.0 Litre,450,Litre,Yes,High Moisture,Spray within 48 hours of sowing.
Citrus,Pest Management,Vegetative,Sucking Pests & Caterpillars,Imidacloprid 17.8% SL,Imidacloprid,Foliar Spray,100 ml,350,Pack,No,High Humidity,Spray on initial appearance of pests.
Citrus,Disease Prevention,Flowering,Fungal Blight & Leaf Spot,Mancozeb 75% WP,Mancozeb,Foliar Spray,500 g,300,Pack,Yes,Rainfall,Apply preventively during overcast humid weather.
Cardamom,Weed Control,Basal / Pre-emergence,Broadleaf & Grass Weeds,Pendimethalin 30% EC,Pendimethalin,Foliar Spray,1.0 Litre,450,Litre,Yes,High Moisture,Spray within 48 hours of sowing.
Cardamom,Pest Management,Vegetative,Sucking Pests & Caterpillars,Imidacloprid 17.8% SL,Imidacloprid,Foliar Spray,100 ml,350,Pack,No,High Humidity,Spray on initial appearance of pests.
Cardamom,Disease Prevention,Flowering,Fungal Blight & Leaf Spot,Mancozeb 75% WP,Mancozeb,Foliar Spray,500 g,300,Pack,Yes,Rainfall,Apply preventively during overcast humid weather.
Black Pepper,Weed Control,Basal / Pre-emergence,Broadleaf & Grass Weeds,Pendimethalin 30% EC,Pendimethalin,Foliar Spray,1.0 Litre,450,Litre,Yes,High Moisture,Spray within 48 hours of sowing.
Black Pepper,Pest Management,Vegetative,Sucking Pests & Caterpillars,Imidacloprid 17.8% SL,Imidacloprid,Foliar Spray,100 ml,350,Pack,No,High Humidity,Spray on initial appearance of pests.
Black Pepper,Disease Prevention,Flowering,Fungal Blight & Leaf Spot,Mancozeb 75% WP,Mancozeb,Foliar Spray,500 g,300,Pack,Yes,Rainfall,Apply preventively during overcast humid weather.
