Crop,Growth_Stage,Ideal_Nitrogen,Ideal_Phosphorus,Ideal_Potassium,Ideal_pH,Source
dill seed,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
dragon fruit,Basal / Sowing,42.0,40.0,48.0,6.5,ICAR National Research Centre for Fruit Crops
dragon fruit,Vegetative / Active Growth,60.0,8.0,32.0,6.5,ICAR National Research Centre for Fruit Crops
dragon fruit,Flowering & Fruiting,24.0,20.0,80.0,6.5,ICAR National Research Centre for Fruit Crops
drumstick leaves,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
drumstick leaves,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
drumstick leaves,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
drumstick pods,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
drumstick pods,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
drumstick pods,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
dry ginger,Basal / Sowing,35.0,50.0,36.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
dry ginger,Vegetative / Active Growth,50.0,10.0,24.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
dry ginger,Flowering & Fruiting,20.0,25.0,60.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
eggplant (brinjal),Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
eggplant (brinjal),Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
eggplant (brinjal),Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
elephant foot yam,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
elephant foot yam,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
elephant foot yam,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
fennel (saunf),Basal / Sowing,35.0,50.0,36.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
fennel (saunf),Vegetative / Active Growth,50.0,10.0,24.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
fennel (saunf),Flowering & Fruiting,20.0,25.0,60.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
fenugreek leaves,Basal / Sowing,35.0,50.0,36.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
fenugreek leaves,Vegetative / Active Growth,50.0,10.0,24.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
fenugreek leaves,Flowering & Fruiting,20.0,25.0,60.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
fenugreek seed,Basal / Sowing,35.0,50.0,36.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
fenugreek seed,Vegetative / Active Growth,50.0,10.0,24.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
fenugreek seed,Flowering & Fruiting,20.0,25.0,60.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
field pea (matar),Basal / Sowing,14.0,50.0,12.0,6.8,ICAR Indian Institute of Pulses Research
field pea (matar),Vegetative / Active Growth,20.0,10.0,8.0,6.8,ICAR Indian Institute of Pulses Research
field pea (matar),Flowering & Fruiting,8.0,25.0,20.0,6.8,ICAR Indian Institute of Pulses Research
fig,Basal / Sowing,42.0,40.0,48.0,6.5,ICAR National Research Centre for Fruit Crops
fig,Vegetative / Active Growth,60.0,8.0,32.0,6.5,ICAR National Research Centre for Fruit Crops
fig,Flowering & Fruiting,24.0,20.0,80.0,6.5,ICAR National Research Centre for Fruit Crops
finger millet (ragi),Basal / Sowing,28.0,50.0,18.0,6.5,ICAR Cereals & Millets Directorate
finger millet (ragi),Vegetative / Active Growth,40.0,10.0,12.0,6.5,ICAR Cereals & Millets Directorate
finger millet (ragi),Flowering & Fruiting,16.0,25.0,30.0,6.5,ICAR Cereals & Millets Directorate
fonio,Basal / Sowing,28.0,50.0,18.0,6.5,ICAR Cereals & Millets Directorate
fonio,Vegetative / Active Growth,40.0,10.0,12.0,6.5,ICAR Cereals & Millets Directorate
fonio,Flowering & Fruiting,16.0,25.0,30.0,6.5,ICAR Cereals & Millets Directorate
foxtail millet,Basal / Sowing,28.0,50.0,18.0,6.5,ICAR Cereals & Millets Directorate
foxtail millet,Vegetative / Active Growth,40.0,10.0,12.0,6.5,ICAR Cereals & Millets Directorate
foxtail millet,Flowering & Fruiting,16.0,25.0,30.0,6.5,ICAR Cereals & Millets Directorate
french beans,Basal / Sowing,14.0,50.0,12.0,6.8,ICAR Indian Institute of Pulses Research
french beans,Vegetative / Active Growth,20.0,10.0,8.0,6.8,ICAR Indian Institute of Pulses Research
french beans,Flowering & Fruiting,8.0,25.0,20.0,6.8,ICAR Indian Institute of Pulses Research
garlic,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
garlic,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
garlic,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
gerbera,Basal / Sowing,17.5,30.0,15.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
gerbera,Vegetative / Active Growth,25.0,6.0,10.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
gerbera,Flowering & Fruiting,10.0,15.0,25.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
gherkin,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
gherkin,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
gherkin,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
giloy,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
giloy,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
giloy,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
gladiolus,Basal / Sowing,17.5,30.0,15.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
gladiolus,Vegetative / Active Growth,25.0,6.0,10.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
gladiolus,Flowering & Fruiting,10.0,15.0,25.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
grapefruit,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
grapefruit,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
grapefruit,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
grapes,Basal / Sowing,42.0,40.0,48.0,6.5,ICAR National Research Centre for Fruit Crops
grapes,Vegetative / Active Growth,60.0,8.0,32.0,6.5,ICAR National Research Centre for Fruit Crops
grapes,Flowering & Fruiting,24.0,20.0,80.0,6.5,ICAR National Research Centre for Fruit Crops
grass pea (khesari),Basal / Sowing,14.0,50.0,12.0,6.8,ICAR Indian Institute of Pulses Research
grass pea (khesari),Vegetative / Active Growth,20.0,10.0,8.0,6.8,ICAR Indian Institute of Pulses Research
grass pea (khesari),Flowering & Fruiting,8.0,25.0,20.0,6.8,ICAR Indian Institute of Pulses Research
green chili,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
green chili,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
green chili,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
guava,Basal / Sowing,42.0,40.0,48.0,6.5,ICAR National Research Centre for Fruit Crops
guava,Vegetative / Active Growth,60.0,8.0,32.0,6.5,ICAR National Research Centre for Fruit Crops
guava,Flowering & Fruiting,24.0,20.0,80.0,6.5,ICAR National Research Centre for Fruit Crops
henna,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
henna,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
henna,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
horse gram (kulthi),Basal / Sowing,14.0,50.0,12.0,6.8,ICAR Indian Institute of Pulses Research
horse gram (kulthi),Vegetative / Active Growth,20.0,10.0,8.0,6.8,ICAR Indian Institute of Pulses Research
horse gram (kulthi),Flowering & Fruiting,8.0,25.0,20.0,6.8,ICAR Indian Institute of Pulses Research
horseradish,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
horseradish,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
horseradish,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
hybrid napier grass,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
hybrid napier grass,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
hybrid napier grass,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
indigo,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
indigo,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
indigo,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
isabgol,Basal / Sowing,17.5,30.0,15.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
isabgol,Vegetative / Active Growth,25.0,6.0,10.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
isabgol,Flowering & Fruiting,10.0,15.0,25.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
ivy gourd (tindora),Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
ivy gourd (tindora),Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
ivy gourd (tindora),Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
jackfruit,Basal / Sowing,42.0,40.0,48.0,6.5,ICAR National Research Centre for Fruit Crops
jackfruit,Vegetative / Active Growth,60.0,8.0,32.0,6.5,ICAR National Research Centre for Fruit Crops
jackfruit,Flowering & Fruiting,24.0,20.0,80.0,6.5,ICAR National Research Centre for Fruit Crops
jamun,Basal / Sowing,42.0,40.0,48.0,6.5,ICAR National Research Centre for Fruit Crops
jamun,Vegetative / Active Growth,60.0,8.0,32.0,6.5,ICAR National Research Centre for Fruit Crops
jamun,Flowering & Fruiting,24.0,20.0,80.0,6.5,ICAR National Research Centre for Fruit Crops
jasmine,Basal / Sowing,17.5,30.0,15.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
jasmine,Vegetative / Active Growth,25.0,6.0,10.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
jasmine,Flowering & Fruiting,10.0,15.0,25.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
jatropha,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
jatropha,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
jatropha,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
jerusalem artichoke,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
jerusalem artichoke,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
jerusalem artichoke,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
job's tears,Basal / Sowing,35.0,50.0,36.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
job's tears,Vegetative / Active Growth,50.0,10.0,24.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
job's tears,Flowering & Fruiting,20.0,25.0,60.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
jute,Basal / Sowing,35.0,50.0,36.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
jute,Vegetative / Active Growth,50.0,10.0,24.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
jute,Flowering & Fruiting,20.0,25.0,60.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
kale,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
kale,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
kale,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
kalmegh,Basal / Sowing,17.5,30.0,15.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
kalmegh,Vegetative / Active Growth,25.0,6.0,10.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
kalmegh,Flowering & Fruiting,10.0,15.0,25.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
karanja,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
karanja,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
karanja,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
karonda,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
karonda,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
karonda,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
kidneybeans,Basal / Sowing,14.0,50.0,12.0,6.8,ICAR Indian Institute of Pulses Research
kidneybeans,Vegetative / Active Growth,20.0,10.0,8.0,6.8,ICAR Indian Institute of Pulses Research
kidneybeans,Flowering & Fruiting,8.0,25.0,20.0,6.8,ICAR Indian Institute of Pulses Research
kiwi,Basal / Sowing,42.0,40.0,48.0,6.5,ICAR National Research Centre for Fruit Crops
kiwi,Vegetative / Active Growth,60.0,8.0,32.0,6.5,ICAR National Research Centre for Fruit Crops
kiwi,Flowering & Fruiting,24.0,20.0,80.0,6.5,ICAR National Research Centre for Fruit Crops
knol khol,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
knol khol,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
knol khol,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
kodo millet,Basal / Sowing,28.0,50.0,18.0,6.5,ICAR Cereals & Millets Directorate
kodo millet,Vegetative / Active Growth,40.0,10.0,12.0,6.5,ICAR Cereals & Millets Directorate
kodo millet,Flowering & Fruiting,16.0,25.0,30.0,6.5,ICAR Cereals & Millets Directorate
kokum (garcinia),Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
kokum (garcinia),Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
kokum (garcinia),Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
kumquat,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
kumquat,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
kumquat,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
kusum,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
kusum,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
kusum,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
lavender,Basal / Sowing,17.5,30.0,15.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
lavender,Vegetative / Active Growth,25.0,6.0,10.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
lavender,Flowering & Fruiting,10.0,15.0,25.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
leek,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
leek,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
leek,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
lemon,Basal / Sowing,42.0,40.0,48.0,6.5,ICAR National Research Centre for Fruit Crops
lemon,Vegetative / Active Growth,60.0,8.0,32.0,6.5,ICAR National Research Centre for Fruit Crops
lemon,Flowering & Fruiting,24.0,20.0,80.0,6.5,ICAR National Research Centre for Fruit Crops
lemongrass,Basal / Sowing,42.0,40.0,48.0,6.5,ICAR National Research Centre for Fruit Crops
lemongrass,Vegetative / Active Growth,60.0,8.0,32.0,6.5,ICAR National Research Centre for Fruit Crops
lemongrass,Flowering & Fruiting,24.0,20.0,80.0,6.5,ICAR National Research Centre for Fruit Crops
lentil,Basal / Sowing,14.0,50.0,12.0,6.8,ICAR Indian Institute of Pulses Research
lentil,Vegetative / Active Growth,20.0,10.0,8.0,6.8,ICAR Indian Institute of Pulses Research
lentil,Flowering & Fruiting,8.0,25.0,20.0,6.8,ICAR Indian Institute of Pulses Research
lettuce,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
lettuce,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
lettuce,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
lima bean,Basal / Sowing,14.0,50.0,12.0,6.8,ICAR Indian Institute of Pulses Research
lima bean,Vegetative / Active Growth,20.0,10.0,8.0,6.8,ICAR Indian Institute of Pulses Research
lima bean,Flowering & Fruiting,8.0,25.0,20.0,6.8,ICAR Indian Institute of Pulses Research
lime,Basal / Sowing,42.0,40.0,48.0,6.5,ICAR National Research Centre for Fruit Crops
lime,Vegetative / Active Growth,60.0,8.0,32.0,6.5,ICAR National Research Centre for Fruit Crops
lime,Flowering & Fruiting,24.0,20.0,80.0,6.5,ICAR National Research Centre for Fruit Crops
linseed (flax),Basal / Sowing,24.5,45.0,18.0,6.8,ICAR Directorate of Oilseeds Research
linseed (flax),Vegetative / Active Growth,35.0,9.0,12.0,6.8,ICAR Directorate of Oilseeds Research
linseed (flax),Flowering & Fruiting,14.0,22.5,30.0,6.8,ICAR Directorate of Oilseeds Research
little millet,Basal / Sowing,28.0,50.0,18.0,6.5,ICAR Cereals & Millets Directorate
little millet,Vegetative / Active Growth,40.0,10.0,12.0,6.5,ICAR Cereals & Millets Directorate
little millet,Flowering & Fruiting,16.0,25.0,30.0,6.5,ICAR Cereals & Millets Directorate
long melon (kakri),Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
long melon (kakri),Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
long melon (kakri),Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
longan,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
longan,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
longan,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
lotus root,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
lotus root,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
lotus root,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
lucerne (alfalfa),Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
lucerne (alfalfa),Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
lucerne (alfalfa),Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
lychee,Basal / Sowing,42.0,40.0,48.0,6.5,ICAR National Research Centre for Fruit Crops
lychee,Vegetative / Active Growth,60.0,8.0,32.0,6.5,ICAR National Research Centre for Fruit Crops
lychee,Flowering & Fruiting,24.0,20.0,80.0,6.5,ICAR National Research Centre for Fruit Crops
mace,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
mace,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
mace,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
mahua,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
mahua,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
mahua,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
malabar spinach,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
malabar spinach,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
malabar spinach,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
mandarin (santra),Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
mandarin (santra),Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
mandarin (santra),Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
mango,Basal / Sowing,42.0,40.0,48.0,6.5,ICAR National Research Centre for Fruit Crops
mango,Vegetative / Active Growth,60.0,8.0,32.0,6.5,ICAR National Research Centre for Fruit Crops
mango,Flowering & Fruiting,24.0,20.0,80.0,6.5,ICAR National Research Centre for Fruit Crops
mangosteen,Basal / Sowing,42.0,40.0,48.0,6.5,ICAR National Research Centre for Fruit Crops
mangosteen,Vegetative / Active Growth,60.0,8.0,32.0,6.5,ICAR National Research Centre for Fruit Crops
mangosteen,Flowering & Fruiting,24.0,20.0,80.0,6.5,ICAR National Research Centre for Fruit Crops
marigold,Basal / Sowing,17.5,30.0,15.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
marigold,Vegetative / Active Growth,25.0,6.0,10.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
marigold,Flowering & Fruiting,10.0,15.0,25.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
mentha,Basal / Sowing,17.5,30.0,15.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
mentha,Vegetative / Active Growth,25.0,6.0,10.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
mentha,Flowering & Fruiting,10.0,15.0,25.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
mesta,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
mesta,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
mesta,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
mothbeans,Basal / Sowing,14.0,50.0,12.0,6.8,ICAR Indian Institute of Pulses Research
mothbeans,Vegetative / Active Growth,20.0,10.0,8.0,6.8,ICAR Indian Institute of Pulses Research
mothbeans,Flowering & Fruiting,8.0,25.0,20.0,6.8,ICAR Indian Institute of Pulses Research
mulberry,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
mulberry,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
mulberry,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
mulberry fruit,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
mulberry fruit,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
mulberry fruit,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
mungbean,Basal / Sowing,14.0,50.0,12.0,6.8,ICAR Indian Institute of Pulses Research
mungbean,Vegetative / Active Growth,20.0,10.0,8.0,6.8,ICAR Indian Institute of Pulses Research
mungbean,Flowering & Fruiting,8.0,25.0,20.0,6.8,ICAR Indian Institute of Pulses Research
mushroom,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
mushroom,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
mushroom,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
muskmelon,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
muskmelon,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
muskmelon,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
mustard (sarson),Basal / Sowing,24.5,45.0,18.0,6.8,ICAR Directorate of Oilseeds Research
mustard (sarson),Vegetative / Active Growth,35.0,9.0,12.0,6.8,ICAR Directorate of Oilseeds Research
mustard (sarson),Flowering & Fruiting,14.0,22.5,30.0,6.8,ICAR Directorate of Oilseeds Research
mustard greens,Basal / Sowing,24.5,45.0,18.0,6.8,ICAR Directorate of Oilseeds Research
mustard greens,Vegetative / Active Growth,35.0,9.0,12.0,6.8,ICAR Directorate of Oilseeds Research
mustard greens,Flowering & Fruiting,14.0,22.5,30.0,6.8,ICAR Directorate of Oilseeds Research
neem seed,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
neem seed,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
neem seed,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
nigella seed (kalonji),Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
nigella seed (kalonji),Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
nigella seed (kalonji),Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
niger seed,Basal / Sowing,24.5,45.0,18.0,6.8,ICAR Directorate of Oilseeds Research
niger seed,Vegetative / Active Growth,35.0,9.0,12.0,6.8,ICAR Directorate of Oilseeds Research
niger seed,Flowering & Fruiting,14.0,22.5,30.0,6.8,ICAR Directorate of Oilseeds Research
nutmeg,Basal / Sowing,35.0,50.0,36.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
nutmeg,Vegetative / Active Growth,50.0,10.0,24.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
nutmeg,Flowering & Fruiting,20.0,25.0,60.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
oats,Basal / Sowing,28.0,50.0,18.0,6.5,ICAR Cereals & Millets Directorate
oats,Vegetative / Active Growth,40.0,10.0,12.0,6.5,ICAR Cereals & Millets Directorate
oats,Flowering & Fruiting,16.0,25.0,30.0,6.5,ICAR Cereals & Millets Directorate
oats fodder,Basal / Sowing,28.0,50.0,18.0,6.5,ICAR Cereals & Millets Directorate
oats fodder,Vegetative / Active Growth,40.0,10.0,12.0,6.5,ICAR Cereals & Millets Directorate
oats fodder,Flowering & Fruiting,16.0,25.0,30.0,6.5,ICAR Cereals & Millets Directorate
oil palm,Basal / Sowing,24.5,45.0,18.0,6.8,ICAR Directorate of Oilseeds Research
oil palm,Vegetative / Active Growth,35.0,9.0,12.0,6.8,ICAR Directorate of Oilseeds Research
oil palm,Flowering & Fruiting,14.0,22.5,30.0,6.8,ICAR Directorate of Oilseeds Research
okra,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
okra,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
okra,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
opium poppy,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
opium poppy,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
opium poppy,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
orange,Basal / Sowing,42.0,40.0,48.0,6.5,ICAR National Research Centre for Fruit Crops
orange,Vegetative / Active Growth,60.0,8.0,32.0,6.5,ICAR National Research Centre for Fruit Crops
orange,Flowering & Fruiting,24.0,20.0,80.0,6.5,ICAR National Research Centre for Fruit Crops
